time	X	Y
266.000	2.359	8.471
267.000	2.328	8.441
268.000	2.303	8.415
269.000	2.240	8.352
270.000	2.227	8.339
271.000	2.251	8.363
272.000	2.271	8.383
273.000	2.229	8.340
274.000	2.260	8.371
275.000	2.258	8.369
276.000	2.285	8.396
277.000	2.294	8.405
278.000	2.317	8.428
279.000	2.316	8.427
280.000	2.353	8.464
281.000	2.415	8.526
282.000	2.423	8.534
283.000	2.430	8.540
284.000	2.404	8.514
285.000	2.416	8.526
286.000	2.365	8.475
287.000	2.351	8.461
288.000	2.419	8.529
289.000	2.400	8.509
290.000	2.436	8.545
291.000	2.376	8.485
292.000	2.385	8.494
293.000	2.425	8.534
294.000	2.446	8.555
295.000	2.433	8.542
296.000	2.365	8.473
297.000	2.339	8.448
298.000	2.351	8.460
299.000	2.349	8.458
300.000	2.345	8.453
301.000	2.349	8.457
302.000	2.395	8.503
303.000	2.389	8.496
304.000	2.383	8.491
305.000	2.336	8.443
306.000	2.333	8.441
307.000	2.386	8.493
308.000	2.369	8.476
309.000	2.375	8.482
310.000	2.402	8.509
311.000	2.450	8.556
312.000	2.421	8.528
313.000	2.416	8.522
314.000	2.391	8.497
315.000	2.389	8.495
316.000	2.372	8.478
317.000	2.425	8.531
318.000	2.438	8.544
319.000	2.437	8.542
320.000	2.426	8.531
321.000	2.412	8.518
322.000	2.380	8.485
323.000	2.358	8.463
324.000	2.321	8.426
325.000	2.341	8.446
326.000	2.286	8.391
327.000	2.306	8.410
328.000	2.315	8.419
329.000	2.292	8.397
330.000	2.277	8.382
331.000	2.238	8.342
332.000	2.250	8.354
333.000	2.242	8.346
334.000	2.226	8.330
335.000	2.180	8.284
336.000	2.162	8.266
337.000	2.173	8.277
338.000	2.171	8.274
339.000	2.146	8.249
340.000	2.125	8.228
341.000	2.094	8.197
342.000	2.129	8.232
343.000	2.148	8.250
344.000	2.146	8.248
345.000	2.176	8.278
346.000	2.138	8.240
347.000	2.128	8.230
348.000	2.169	8.271
349.000	2.216	8.318
350.000	2.234	8.336
351.000	2.245	8.346
352.000	2.205	8.307
353.000	2.224	8.326
354.000	2.240	8.341
355.000	2.225	8.325
356.000	2.246	8.347
357.000	2.272	8.372
358.000	2.283	8.383
359.000	2.295	8.395
360.000	2.308	8.408
361.000	2.286	8.386
362.000	2.284	8.384
363.000	2.281	8.381
364.000	2.252	8.352
365.000	2.245	8.344
366.000	2.240	8.340
367.000	2.209	8.308
368.000	2.222	8.321
369.000	2.211	8.310
370.000	2.155	8.254
371.000	2.165	8.264
372.000	2.205	8.304
373.000	2.224	8.323
374.000	2.211	8.310
375.000	2.206	8.304
376.000	2.205	8.303
377.000	2.247	8.345
378.000	2.250	8.348
379.000	2.252	8.350
380.000	2.251	8.349
381.000	2.274	8.371
382.000	2.304	8.401
383.000	2.317	8.414
384.000	2.332	8.429
385.000	2.307	8.404
386.000	2.282	8.379
387.000	2.271	8.368
388.000	2.323	8.420
389.000	2.308	8.404
390.000	2.286	8.382
391.000	2.365	8.461
392.000	2.355	8.451
393.000	2.327	8.423
394.000	2.321	8.417
395.000	2.307	8.403
396.000	2.289	8.384
397.000	2.284	8.379
398.000	2.304	8.400
399.000	2.320	8.415
400.000	2.319	8.414
401.000	2.305	8.400
402.000	2.301	8.396
403.000	2.252	8.346
404.000	2.248	8.343
405.000	2.276	8.370
406.000	2.314	8.408
407.000	2.301	8.395
408.000	2.287	8.381
409.000	2.306	8.400
410.000	2.316	8.410
411.000	2.263	8.357
412.000	2.252	8.345
413.000	2.280	8.373
414.000	2.258	8.352
415.000	2.233	8.326
416.000	2.187	8.280
417.000	2.184	8.276
418.000	2.223	8.315
419.000	2.219	8.312
420.000	2.172	8.265
421.000	2.160	8.252
422.000	2.119	8.211
423.000	2.110	8.202
424.000	2.084	8.176
425.000	2.100	8.192
426.000	2.058	8.150
427.000	2.024	8.115
428.000	2.020	8.111
429.000	2.027	8.118
430.000	2.033	8.124
431.000	2.019	8.110
432.000	2.084	8.174
433.000	2.093	8.184
434.000	2.114	8.205
435.000	2.162	8.253
436.000	2.159	8.250
437.000	2.116	8.206
438.000	2.085	8.175
439.000	2.064	8.154
440.000	2.074	8.164
441.000	2.100	8.189
442.000	2.103	8.193
443.000	2.109	8.198
444.000	2.118	8.207
445.000	2.102	8.191
446.000	2.098	8.187
447.000	2.075	8.164
448.000	2.075	8.164
449.000	2.069	8.157
450.000	2.050	8.138
451.000	2.029	8.117
452.000	2.048	8.136
453.000	2.055	8.143
454.000	2.036	8.124
455.000	2.026	8.113
456.000	2.006	8.093
457.000	1.955	8.043
458.000	1.995	8.083
459.000	2.006	8.093
460.000	1.994	8.081
461.000	1.971	8.057
462.000	1.962	8.049
463.000	1.948	8.035
464.000	1.961	8.048
465.000	1.993	8.080
466.000	2.041	8.127
467.000	2.033	8.119
468.000	2.051	8.137
469.000	2.053	8.139
470.000	2.096	8.182
471.000	2.147	8.232
472.000	2.188	8.274
473.000	2.241	8.326
474.000	2.201	8.286
475.000	2.229	8.314
476.000	2.224	8.309
477.000	2.239	8.324
478.000	2.285	8.370
479.000	2.283	8.368
480.000	2.283	8.367
481.000	2.314	8.398
482.000	2.341	8.425
483.000	2.349	8.433
484.000	2.359	8.443
485.000	2.383	8.467
486.000	2.351	8.435
487.000	2.342	8.426
488.000	2.356	8.439
489.000	2.342	8.425
490.000	2.377	8.460
491.000	2.398	8.481
492.000	2.379	8.462
493.000	2.343	8.426
494.000	2.297	8.379
495.000	2.314	8.396
496.000	2.361	8.443
497.000	2.338	8.420
498.000	2.362	8.444
499.000	2.434	8.515
500.000	2.430	8.512
501.000	2.487	8.569
502.000	2.494	8.575
503.000	2.418	8.499
504.000	2.381	8.462
505.000	2.382	8.463
506.000	2.437	8.518
507.000	2.400	8.481
508.000	2.352	8.433
509.000	2.349	8.429
510.000	2.278	8.358
511.000	2.286	8.366
512.000	2.263	8.343
513.000	2.273	8.353
514.000	2.282	8.362
515.000	2.294	8.374
516.000	2.235	8.315
517.000	2.245	8.325
518.000	2.227	8.306
519.000	2.223	8.303
520.000	2.232	8.312
521.000	2.241	8.320
522.000	2.189	8.268
523.000	2.212	8.291
524.000	2.200	8.279
525.000	2.227	8.306
526.000	2.206	8.285
527.000	2.206	8.284
528.000	2.198	8.277
529.000	2.182	8.260
530.000	2.186	8.263
531.000	2.226	8.304
532.000	2.191	8.268
533.000	2.184	8.261
534.000	2.162	8.240
535.000	2.121	8.199
536.000	2.125	8.202
537.000	2.107	8.184
538.000	2.075	8.152
539.000	2.081	8.158
540.000	2.050	8.126
541.000	2.067	8.143
542.000	1.999	8.075
543.000	1.983	8.059
544.000	1.999	8.074
545.000	1.960	8.036
546.000	1.975	8.051
547.000	1.903	7.979
